year_state,State,Yearcode,Country,State.lgd.code,Year,SDP,Gini,StateGini,year_state_GWL,election_margin,party_count,percent_women_elected,population_density,rainfall
2011andhra pradesh,andhra pradesh,2011,India,28,"Calendar Year (Jan - Dec), 2011",191554,0.27,0.27,7.641191333,5,5,7.142857143,308,9
2011arunachal pradesh,arunachal pradesh,2011,India,12,"Calendar Year (Jan - Dec), 2011",4983,0.34,0.306,4.373333333,0,2,0,17,53.9
2011assam,assam,2011,India,18,"Calendar Year (Jan - Dec), 2011",66942,0.26,0.289,2.373125,4,4,14.28571429,397,62.9
2011bihar,bihar,2011,India,10,"Calendar Year (Jan - Dec), 2011",129521,0.2,0.401,4.330463769,16,7,7.5,1102,67.5
2011chhattisgarh,chhattisgarh,2011,India,22,"Calendar Year (Jan - Dec), 2011",NA,0.29,0.342,3.442000933,9,2,9.090909091,189,11.4
2011delhi,delhi,2011,India,7,"Calendar Year (Jan - Dec), 2011",365375,0.22,0.194,7.86525,7,1,14.28571429,11297,0
2011goa,goa,2011,India,30,"Calendar Year (Jan - Dec), 2011",23279,0.23,0.18,5.1025,2,1,0,394,1084.1
2011gujarat,gujarat,2011,India,24,"Calendar Year (Jan - Dec), 2011",336886,NA,0.269,10.01015625,26,1,15.38461538,308,0
2011haryana,haryana,2011,India,6,"Calendar Year (Jan - Dec), 2011",158523,0.3,0.2,12.58079545,5,3,0,573,3
2011himachal pradesh,himachal pradesh,2011,India,2,"Calendar Year (Jan - Dec), 2011",33955,NA,0.2,6.254016184,4,1,0,123,126.4
2011jammu and kashmir,jammu and kashmir,2011,India,1,"Calendar Year (Jan - Dec), 2011",33990,0.17,0.256,5.632,0,2,16.66666667,124,86
2011jharkhand,jharkhand,2011,India,20,"Calendar Year (Jan - Dec), 2011",NA,NA,0.396,5.978229167,10,2,0,414,3.1
2011karnataka,karnataka,2011,India,29,"Calendar Year (Jan - Dec), 2011",80157,NA,0.257,7.825,8,3,3.571428571,319,0
2011kerala,kerala,2011,India,32,"Calendar Year (Jan - Dec), 2011",248040,0.33,0.169,5.635178571,3,6,5,859,717
2011madhya pradesh,madhya pradesh,2011,India,23,"Calendar Year (Jan - Dec), 2011",176915,0.24,0.376,8.010721154,25,2,17.24137931,236,0
2011maharashtra,maharashtra,2011,India,27,"Calendar Year (Jan - Dec), 2011",169600,0.25,0.275,5.477210765,5,5,10.41666667,365,1.4
2011meghalaya,meghalaya,2011,India,17,"Calendar Year (Jan - Dec), 2011",695904,0.18,0.27,2.065555556,0,2,0,132,276.7
2011nagaland,nagaland,2011,India,13,"Calendar Year (Jan - Dec), 2011",6412,0.2,0.274,5.4225,1,1,0,119,0
2011odisha,odisha,2011,India,21,"Calendar Year (Jan - Dec), 2011",NA,0.4,0.36,3.819,19,2,9.523809524,269,13.1
2011punjab,punjab,2011,India,3,"Calendar Year (Jan - Dec), 2011",4405,NA,0.164,11.45673913,1,3,7.692307692,550,87.6
2011rajasthan,rajasthan,2011,India,8,"Calendar Year (Jan - Dec), 2011",9291,0.37,0.34,18.83363636,25,1,4,201,0
2011tamil nadu,tamil nadu,2011,India,33,"Calendar Year (Jan - Dec), 2011",136987,0.28,0.237,4.838092105,36,2,10.25641026,555,30.5
2011tripura,tripura,2011,India,16,"Calendar Year (Jan - Dec), 2011",202749,NA,0.263,1.831666667,2,1,0,350,14.6
2011uttar pradesh,uttar pradesh,2011,India,9,"Calendar Year (Jan - Dec), 2011",4548,0.28,0.363,5.885943729,66,4,16.25,828,0
2011uttarakhand,uttarakhand,2011,India,5,"Calendar Year (Jan - Dec), 2011",NA,0.33,0.254,12.69192308,5,1,20,189,13.3
2011west bengal,west bengal,2011,India,19,"Calendar Year (Jan - Dec), 2011",386508,0.24,0.312,4.588181818,30,4,28.57142857,1029,0
2012andhra pradesh,andhra pradesh,2012,India,28,"Calendar Year (Jan - Dec), 2012",341335,0.33,0.27,9.267035131,5,5,7.142857143,308,0
2012arunachal pradesh,arunachal pradesh,2012,India,12,"Calendar Year (Jan - Dec), 2012",10399,0.3,0.306,5.07,0,2,0,17,459
2012assam,assam,2012,India,18,"Calendar Year (Jan - Dec), 2012",132518,0.21,0.289,2.8290625,4,4,14.28571429,397,223.3
2012bihar,bihar,2012,India,10,"Calendar Year (Jan - Dec), 2012",236933,0.16,0.401,4.503005224,16,7,7.5,1102,46.9
2012chhattisgarh,chhattisgarh,2012,India,22,"Calendar Year (Jan - Dec), 2012",NA,NA,0.342,2.587204968,9,2,9.090909091,189,330.6
2012delhi,delhi,2012,India,7,"Calendar Year (Jan - Dec), 2012",673552,NA,0.194,8.525333333,7,1,14.28571429,11297,191.2
2012goa,goa,2012,India,30,"Calendar Year (Jan - Dec), 2012",32453,0.23,0.18,5.481666667,2,1,0,394,105.5
2012gujarat,gujarat,2012,India,24,"Calendar Year (Jan - Dec), 2012",596659,0.32,0.269,12.28427083,26,1,15.38461538,308,381.4
2012haryana,haryana,2012,India,6,"Calendar Year (Jan - Dec), 2012",289756,NA,0.2,14.81965909,5,3,0,573,5.3
2012himachal pradesh,himachal pradesh,2012,India,2,"Calendar Year (Jan - Dec), 2012",64519,0.26,0.2,6.255707033,4,1,0,123,426.9
2012jammu and kashmir,jammu and kashmir,2012,India,1,"Calendar Year (Jan - Dec), 2012",67316,0.24,0.256,5.108666667,0,2,16.66666667,124,132.1
2012jharkhand,jharkhand,2012,India,20,"Calendar Year (Jan - Dec), 2012",NA,NA,0.396,6.047083333,10,2,0,414,21.3
2012karnataka,karnataka,2012,India,29,"Calendar Year (Jan - Dec), 2012",149526,0.44,0.257,9.355333333,8,3,3.571428571,319,28.9
2012kerala,kerala,2012,India,32,"Calendar Year (Jan - Dec), 2012",593192,0.35,0.169,6.329047619,3,6,5,859,9.1
